Pro,Con,Judge,Result,"Pro								Points","Con								Points"
Gunn PM,Huntington LM,Olga Granda,Con,"Maya P																																																												27																																																																												Antonia M																																																												26","Ethan L																																																												28																																																																												Cameron M																																																												29"
Gunn EA,Pinecrest DU,Jun Hong,Con,"Connor E																																																												25																																																																												Tanush A																																																												26","Pirum U																																																												26																																																																												Ben D																																																												27"
Bronx Science KM,Lincoln East SI,Radha Kaipa,Con,"Zora K																																																												27																																																																												Nina&nbsp; M																																																												28","Yakub I																																																												28																																																																												Arnav S																																																												27"
Cary HZ,Thomas Jefferson HSST JZ,Salah Khan,Pro,"Ella Z																																																												29																																																																												Jiayin H																																																												29","Edward Z																																																												29																																																																												Shinyoung J																																																												29"
Winston Churchill HT,Brentwood SS,Amanda Taylor,Pro,"Benjamin T																																																												28																																																																												Liam H																																																												28","Zaynab S																																																												29																																																																												Nihar S																																																												29"
Ravenwood KM,Charlotte Catholic HR,Timothy Lewis,Con,"Aayush K																																																												27																																																																												Naman M																																																												27","AJ R																																																												27																																																																												Max H																																																												27"
Hawken LB,Chantilly KN,John Manahan,Pro,"Julien B																																																												29																																																																												Mehul L																																																												28","Vikas N																																																												28																																																																												Sohan K																																																												28"
JR Masterman EK,Myers Park JB,Neal McAliley,Con,"Noah E																																																												30																																																																												Sammie K																																																												29","Camden B																																																												30																																																																												Ethan J																																																												30"
Poly Prep Country Day LS,Lexington FS,Amy Moore,Pro,"Jonah S																																																												29																																																																												Claudia L																																																												30","Ambalatharasu S																																																												28																																																																												Annie F																																																												28"
Brentwood MH,Gunn HY,Venkat Nanduri,Pro,"Sully M																																																												27																																																																												William H																																																												28","Leo Y																																																												25																																																																												Angeline H																																																												26"
Potomac AS,Lexington CH,Yasuhiro Ogawa,Pro,"Spencer A																																																												30																																																																												Sienna S																																																												29","Eeshan C																																																												28																																																																												Charles H																																																												27"
Cranbrook WK,Thomas Jefferson HSST ZL,Limin Peng,Con,"David K																																																												29																																																																												Ben W																																																												28","Brian Z																																																												30																																																																												David L																																																												28"
Millard North RR,Trinity Prep NP,Zach Perry,Con,"Arnav R																																																												27																																																																												Arjun R																																																												27","Sreekar N																																																												29																																																																												Ameya P																																																												29"
Lake Highland Prep NA,Cary FL,Dashiell Puentes,Con,"Rhea N																																																												28																																																																												Naina A																																																												28","Adam F																																																												28																																																																												Andrew L																																																												28"
Potomac SW,Lambert KS,Emily Qiu,Con,"Ben W																																																												28																																																																												Lea S																																																												28","Shaomin K																																																												29																																																																												Hanming S																																																												28"
Bridgewater Raritan GL,Hawken TO,Ethan Ramos,Con,"Yu Xuan L																																																												28																																																																												Maanas G																																																												27","Tim T																																																												28																																																																												Parker O																																																												28"
Cary LJ,Lambert BM,Carol Sammon,Con,"Adam L																																																												28																																																																												Ayan J																																																												28","Varnica B																																																												27																																																																												Bobby M																																																												30"
Bronx Science GS,Lake Highland Prep YK,Bryan Benitez,Con,"Marina G																																																												28																																																																												Daria S																																																												28","Sid K																																																												28																																																																												Frances Y																																																												28"
Potomac DP,NSU LP,Priya Sirohi,Pro,"Grace D																																																												27																																																																												Manuela P																																																												28","Alexia L																																																												25																																																																												Elizabeth P																																																												26"
Poly Prep Country Day ST,St Mary's Hall CT,Brittany Stanchik,Pro,"George T																																																												29																																																																												Rory S																																																												30","Nicholas C																																																												29																																																																												Andres T																																																												29"
Flintridge Prep ZV,Bronx Science MY,Evan Ortiz,Con,"Daniel Z																																																												30																																																																												Sienna V																																																												30","Carson M																																																												30																																																																												Vivian Y																																																												30"
Myers Park RP,Potomac BB,Justin Sword,Con,"Sam R																																																												28																																																																												Charlie P																																																												27","Iman B																																																												30																																																																												Celia B																																																												29"
Southlake Carroll PS,West Windsor Plainsboro South ZG,Charlie Synn,Pro,"Eesha S																																																												29																																																																												Shriya P																																																												29","Miriam Z																																																												28																																																																												Donna G																																																												28"
Huntington NP,NSU HL,Amol Talap,Pro,"Thomas P																																																												27																																																																												Ajay N																																																												27","Samantha H																																																												26																																																																												Dylan L																																																												26"
Lincoln East SS,Dalton MB,Nicole Tommarazzo,Pro,"Sofia S																																																												28																																																																												Ellie S																																																												28","Arav M																																																												27																																																																												Anysa B																																																												28"
Canyon Crest SD,Cary CB,Bianca Turman,Pro,"Melinda S																																																												30																																																																												Ishan D																																																												29","Nash B																																																												28																																																																												Evan C																																																												29"
Lincoln East BX,Delbarton MS,Sydney Vance,Con,"Christina X																																																												29																																																																												Cassidy B																																																												29","Alexander S																																																												30																																																																												Eric M																																																												30"
Potomac HC,Ransom Everglades GS,Lauryn Walker,Pro,"Noah H																																																												28																																																																												Sophia C																																																												27","Sophie G																																																												27																																																																												Oliver S																																																												27"
Ransom Everglades FJ,Strake Jesuit  DK,Jeff Welty,Pro,"Amelia F																																																												28																																																																												Andre J																																																												28","David K																																																												28																																																																												Ishan D																																																												28"
Ransom Everglades GR,JR Masterman CA,Michael Zhao,Pro,"Nicole R																																																												30																																																																												Cecilia G																																																												29","Lily C																																																												29																																																																												Henry A																																																												29"
NSU FR,Edgemont Junior-Senior MM,ashish aggarwal,Con,"Amanda F																																																												28																																																																												Maria R																																																												27","Anisha M																																																												29																																																																												Abhiram M																																																												26"
Lake Highland Prep KH,Thomas Jefferson HSST CL,Lakshmi chilukuri,Pro,"Aliza H																																																												30																																																																												Nithya K																																																												29","Alina C																																																												29																																																																												Grace L																																																												29"
